Data da venda;Unidades;Faturamento;Venda por publicidade;SKU;Título do anúncio;Variação;Preço unitário de venda do anúncio (BRL);Tipo de anúncio;Cidade;Estado;Forma de entrega
19/09/2024;1;288,87;Não;EKJS-T3188;Kit 2câmera De Segurança Wifi Inteligente Tuya Alexa Full Hd;Cor : Branco;288,87;Clássico;Campinas;São Paulo;Correios e pontos de envio
19/09/2024;1;132;Não;EKHM-T2024ER;Ekaza Painel Led Inteligente Wifi 24w Rgb Embutir Redondo;Aplicação : Embutir | Cor : Branco | Voltagem : 110V/220V;132;Clássico;Guarulhos;São Paulo;Correios e pontos de envio
18/09/2024;1;139,99;Sim;EKJS-T3188;Ekaza Câmera De Segurança Nuvem Dome Wi-fi Uhd 2k E Ip65;Conexão : WiFi | Cor : Branco;139,99;Clássico;Capela do Alto Alegre;Bahia;Correios e pontos de envio
18/09/2024;1;139,99;Sim;EKJS-T3188;Ekaza Câmera De Segurança Nuvem Dome Wi-fi Uhd 2k E Ip65;Conexão : WiFi | Cor : Branco;139,99;Clássico;Nova Friburgo;Rio de Janeiro;Correios e pontos de envio
18/09/2024;1;139,99;Sim;EKJS-T3188;Ekaza Câmera De Segurança Nuvem Dome Wi-fi Uhd 2k E Ip65;Conexão : WiFi | Cor : Branco;139,99;Clássico;Rio de Janeiro;Rio de Janeiro;Correios e pontos de envio
17/09/2024;1;179,99;Sim;EKAT-T3075-4P;Interruptor Touch 4x4 Wifi 4 Botões Com Tomada Alexa Google Cor Preto; ;179,99;Premium;Nova Iguaçu;Rio de Janeiro;Correios e pontos de envio
15/09/2024;1;54,31;Não;EKNX-T005;Tomada Inteligente Smart Wifi Controle Automação Ekaza 16a; ;54,31;Clássico; ;Rio Grande do Sul;Correios e pontos de envio
15/09/2024;1;52,21;Não;EKHM-T262-E27;Lâmpada Inteligente Led Wifi Rgb Smart 15w+4w Alexa Google; ;52,21;Clássico; ;Rio Grande do Sul;Correios e pontos de envio
15/09/2024;1;144,43;Não;EKTL-T407-3W;Ekaza Interruptor Inteligente Vênus Soft Touch 3 Botões Wifi;Cor : Branco | Interruptor : 3 Botões | Voltagem : 110V/220V;144,43;Clássico; ;Rio Grande do Sul;Correios e pontos de envio
14/09/2024;1;233,32;Não;EKGD-T408-3ZG;Interruptor Zigbee Inteligente 3 Botões Físicos Smart Alexa Cor Cinza 110v/220v; ;233,32;Clássico;São Paulo;São Paulo;Correios e pontos de envio
07/09/2024;2;296;Não;EKJS-T3188;Ekaza Câmera De Segurança Nuvem Dome Wi-fi Uhd 2k E Ip65;Conexão : WiFi | Cor : Branco;148;Clássico;Buri;São Paulo;Correios e pontos de envio
05/09/2024;1;148;Não;EKJS-T3188;Ekaza Câmera De Segurança Nuvem Dome Wi-fi Uhd 2k E Ip65;Conexão : WiFi | Cor : Branco;148;Clássico;Joinville;Santa Catarina;Correios e pontos de envio
01/08/2024;2;47,98;Sim;DLP2310C;Philips Kit Carregador Qc3.0 Super Rápido+cabo Type-c 2310c;Cor : Preto;23,99;Clássico;Guarulhos;São Paulo;Correios e pontos de envio
31/07/2024;1;12;Sim;DLC2518B;Philips Cabo Micro Usb 1.2m  Série Premium Alumínio 2518b;Cor : Preto;12;Clássico;Valinhos;São Paulo;Correios e pontos de envio
31/07/2024;1;199;Sim;EKGD-T408-1ZG;Interruptor Inteligente Metálico Mercúrio 1ch Zigbee Ekaza;Cor : Prateado | Corrente nominal : 16 A | Voltagem nominal : 110V;199;Clássico;Valinhos;São Paulo;Correios e pontos de envio
